"Elegant Chrysanthemum","Flowers","A variegated native plant known for its elegant appearance
    and its labor-intensive care. Ideal for spaces with direct sunlight, the Elegant Chrysanthemum  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 5_SANDY GREEN.png","16"
"Trailing Blueberry","Fruits and Vegetables","A herbaceous native plant known for its trailing appearance
    and its simple care. Ideal for spaces with direct sunlight, the Trailing Blueberry  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/TREE 2_YELLOWISH GREEN.png","53"
"Frosty Echeveria","Succulents","A flood-resistant tropical plant known for its frosty appearance
    and its labor-intensive care. Ideal for spaces with no sunlight, the Frosty Echeveria  
    requires maximal watering, perfect for all plant lovers.","/pixel_plants/Flower Pot 2 - RED.png","43"
"Silver Tomato","Fruits and Vegetables","A delicate exotic plant known for its silver appearance
    and its labor-intensive care. Ideal for spaces with full sunlight, the Silver Tomato  
    requires minimal watering, perfect for plenty of plant lovers.","/pixel_plants/TREE 12_TEAL.png","49"
"Exuberant Christmas Cactus","Succulents","A cat-friendly common plant known for its exuberant appearance
    and its effortless care. Ideal for spaces with indirect sunlight, the Exuberant Christmas Cactus  
    requires maximal watering, perfect for some plant lovers.","/pixel_plants/Flower 11 - RED.png","77"
"Hardy String of Pearls","Succulents","An effervescent rare plant known for its hardy appearance
    and its effortless care. Ideal for spaces with low sunlight, the Hardy String of Pearls  
    requires moderate watering, perfect for a select few plant lovers.","/pixel_plants/Flower 3 - PINK.png","27"
"Dwarf Jade Plant","Succulents","A poisonous exotic plant known for its dwarf appearance
    and its simple care. Ideal for spaces with direct sunlight, the Dwarf Jade Plant  
    requires moderate watering, perfect for all plant lovers.","/pixel_plants/Flower 6 - BLUE.png","25"
"Spiky Potato","Fruits and Vegetables","A poisonous rare plant known for its spiky appearance
    and its simple care. Ideal for spaces with low sunlight, the Spiky Potato  
    requires minimal watering, perfect for some plant lovers.","/pixel_plants/TREE 5_TEAL.png","13"
"Lush Dill","Herbs","A delicious rare plant known for its lush appearance
    and its labor-intensive care. Ideal for spaces with low sunlight, the Lush Dill  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/Flower 3 - PURPLE.png","40"
"Graceful Strawberry","Fruits and Vegetables","An annual common plant known for its graceful appearance
    and its low-maintenance care. Ideal for spaces with no sunlight, the Graceful Strawberry  
    requires regular watering, perfect for some plant lovers.","/pixel_plants/TREE 6_YELLOWISH GREEN.png","8"
"Giant Chives","Herbs","A cat-friendly tropical plant known for its giant appearance
    and its effortless care. Ideal for spaces with full sunlight, the Giant Chives  
    requires minimal watering, perfect for all plant lovers.","/pixel_plants/TREE 12_GREEN.png","43"
"Soft Lily","Flowers","A dog-friendly tropical plant known for its soft appearance
    and its difficult care. Ideal for spaces with full sunlight, the Soft Lily  
    requires maximal watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 7 - PINK 2.png","28"
"Smooth Crown of Thorns","Succulents","A drought-resistant exotic plant known for its smooth appearance
    and its low-maintenance care. Ideal for spaces with indirect sunlight, the Smooth Crown of Thorns  
    requires moderate watering, perfect for all plant lovers.","/pixel_plants/Flower Pot 7 - WHITE.png","75"
"Compact Mint","Herbs","An annual common plant known for its compact appearance
    and its difficult care. Ideal for spaces with indirect sunlight, the Compact Mint  
    requires moderate watering, perfect for some plant lovers.","/pixel_plants/Flower Pot 3 - COLORFUL.png","96"
"Smooth Oregano","Herbs","A poisonous exotic plant known for its smooth appearance
    and its effortless care. Ideal for spaces with direct sunlight, the Smooth Oregano  
    requires regular watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 11 - RED.png","55"
"Leafy Panda Plant","Succulents","A chicken-friendly common plant known for its leafy appearance
    and its difficult care. Ideal for spaces with no sunlight, the Leafy Panda Plant  
    requires moderate watering, perfect for plenty of plant lovers.","/pixel_plants/Flower 10 - PINK.png","30"
"Dwarf String of Pearls","Succulents","A hypoallergenic rare plant known for its dwarf appearance
    and its simple care. Ideal for spaces with full sunlight, the Dwarf String of Pearls  
    requires maximal watering, perfect for many plant lovers.","/pixel_plants/Flower Pot 1 - BLUE.png","88"
"Thorny Zebra Haworthia","Succulents","A cat-friendly exotic plant known for its thorny appearance
    and its simple care. Ideal for spaces with no sunlight, the Thorny Zebra Haworthia  
    requires regular watering, perfect for a select few plant lovers.","/pixel_plants/Bush 1 - RED 2.png","77"
